time,open,high,low,close,Volume,Volume MA
1536271200,85.203,85.203,85.203,85.203,0,0
1536530400,85.063,85.063,85.063,85.063,0,0
1536616800,87.073,87.073,87.073,87.073,0,0
1536703200,88.031,88.031,88.031,88.031,0,0
1536789600,86.795,86.795,86.795,86.795,0,0
1536876000,86.039,86.039,86.039,86.039,0,0
1537135200,86.158,86.158,86.158,86.158,0,0
1537221600,87.528,87.528,87.528,87.528,0,0
1537308000,88.488,88.488,88.488,88.488,0,0
1537394400,87.938,87.938,87.938,87.938,0,0
1537480800,87.909,87.909,87.909,87.909,0,0
1537740000,89.954,89.954,89.954,89.954,0,0
1537826400,90.496,90.496,90.496,90.496,0,0
1537912800,90.073,90.073,90.073,90.073,0,0
1537999200,91.021,91.021,91.021,91.021,0,0
1538085600,90.431,90.431,90.431,90.431,0,0
1538344800,92.556,92.556,92.556,92.556,0,0
1538431200,92.516,92.516,92.516,92.516,0,0
1538517600,92.908,92.908,92.908,92.908,0,0
1538604000,91.146,91.146,91.146,91.146,0,0
1538690400,90.923,90.923,90.923,90.923,0,0
1538949600,90.979,90.979,90.979,90.979,0,0
1539036000,90.972,90.972,90.972,90.972,0,0
1539122400,89.021,89.021,89.021,89.021,0,0
1539208800,85.693,85.693,85.693,85.693,0,0
1539295200,86.296,86.296,86.296,86.296,0,0
1539554400,86.037,86.037,86.037,86.037,0,0
1539640800,86.826,86.826,86.826,86.826,0,0
1539727200,84.755,84.755,84.755,84.755,0,0
1539813600,83.643,83.643,83.643,83.643,0,0
1539900000,84.503,84.503,84.503,84.503,0,0
1540159200,84.334,84.334,84.334,84.334,0,0
1540245600,81.274,81.274,81.274,81.274,0,0
1540332000,80.816,80.816,80.816,80.816,0,0
1540418400,80.785,80.785,80.785,80.785,0,0
1540504800,80.76,80.76,80.76,80.76,0,0
1540764000,80.966,80.966,80.966,80.966,0,0
1540850400,80.263,80.263,80.263,80.263,0,0
1540936800,78.115,78.115,78.115,78.115,0,0
1541023200,76.277,76.277,76.277,76.277,0,0
1541109600,75.869,75.869,75.869,75.869,0,0
1541372400,75.456,75.456,75.456,75.456,0,0
1541458800,75.151,75.151,75.151,75.151,0,0
1541545200,73.339,73.339,73.339,73.339,0,0
1541631600,72.839,72.839,72.839,72.839,0,0
1541718000,71.692,71.692,71.692,71.692,0,0
1541977200,72.261,72.261,72.261,72.261,0,0
1542063600,68.19,68.19,68.19,68.19,0,0
1542150000,68.867,68.867,68.867,68.867,0,0
1542236400,68.877,68.877,68.877,68.877,0,0
1542322800,69.93,69.93,69.93,69.93,0,0
1542582000,70.028,70.028,70.028,70.028,0,0
1542668400,66.176,66.176,66.176,66.176,0,0
1542754800,66.67,66.67,66.67,66.67,0,0
1542927600,61.523,61.523,61.454,61.454,0,0
1543186800,63.023,63.023,63.023,63.023,0,0
1543273200,61.594,61.594,61.594,61.594,0,0
1543359600,59.996,59.996,59.996,59.996,0,0
1543446000,62.25,62.25,62.25,62.25,0,0
1591653600,46.032,46.032,46.032,46.032,0,0
1591740000,46.021,46.021,46.021,46.021,0,0
1591826400,42.774,42.774,42.774,42.774,0,0
1591912800,42.921,42.921,42.921,42.921,0,0
1592344800,47.533,47.533,47.533,47.533,0,0
1592431200,48.472,48.472,48.472,48.472,0,0
1592517600,48.617,48.617,48.617,48.617,0,0
1592776800,49.528,49.528,49.528,49.528,0,0
1592863200,49.544,49.544,49.544,49.544,0,0
1592949600,45.647,45.647,45.647,45.647,0,0
1593036000,45.281,45.281,45.281,45.281,0,0
1593122400,44.341,44.341,44.341,44.341,0,0
1593381600,45.281,45.281,45.281,45.281,0,0
1593468000,45.385,45.385,45.385,45.385,0,0
1593554400,46.12,46.12,46.12,46.12,0,0
1593986400,47.109,47.109,47.109,47.109,0,0
1594072800,47.845,47.845,47.845,47.845,0,0
1594159200,48.716,48.716,48.716,48.716,0,0
